"MotherID","MotherID_unique","BirthSeason","Total_Offspring_Count","TotalSons","SonID","DSB_Score","SSB_Score","TotalMounts","Scan_Count","adjusted_DSB","adjusted_SSB","adjusted_TM"
"ID_4994","ID_4994a",2005,9,8,"ID_7240",0,1,1,0,0,0,0
"ID_5000","ID_5000a",2016,2,2,"ID_2255",0,0,0,0,0,0,0
"ID_5001","ID_5001a",2009,6,3,"ID_6196",0,1,1,31,0,0.670528152,0.670528152
"ID_5005","ID_5005a",1989,8,3,"ID_6388",9,0,9,9,9.431564734,0,9.431564734
"ID_5026","ID_5026a",1997,10,5,"ID_1235",0,2,2,0,0,0,0
"ID_5026","ID_5026b",1997,10,5,"ID_3194",0,0,0,3,0,0,0
"ID_5031","ID_5031a",2005,13,6,"ID_6391",3,7,10,15,2.550822461,5.951919076,8.502741537
"ID_5031","ID_5031b",2005,13,6,"ID_7088",0,4,5,1,0,NA,NA
"ID_5031","ID_5031c",2005,13,6,"ID_8101",1,1,2,92,0.509219981,0.509219981,1.018439962
"ID_5059","ID_5059a",2011,3,1,"ID_3129",0,0,0,3,0,0,0
"ID_5075","ID_5075a",1993,7,3,"ID_3989",1,7,8,84,0.519675084,3.637725589,4.157400674
"ID_5098","ID_5098a",1997,9,5,"ID_6172",2,1,3,23,1.468722271,0.734361136,2.203083407
"ID_5173","ID_5173a",2000,6,1,"ID_8559",0,0,0,0,0,0,0
"ID_5173","ID_5173b",2000,6,1,"ID_9137",0,4,4,50,0,2.35436764,2.35436764
"ID_5193","ID_5193a",1996,5,3,"ID_1928",0,2,2,75,0,1.066631816,1.066631816
"ID_5200","ID_5200a",2015,4,3,"ID_1635",93,3,96,177,41.37059875,1.334535443,42.70513419
"ID_5243","ID_5243a",2001,14,5,"ID_5782",18,5,23,90,9.210729944,2.558536096,11.76926604
"ID_5243","ID_5243b",2001,14,5,"ID_7235",0,1,1,0,0,0,0
"ID_5248","ID_5248a",2012,5,2,"ID_8640",0,1,1,0,0,0,0
"ID_5248","ID_5248b",2012,5,2,"ID_9887",5,1,6,15,4.251370769,0.850274154,5.101644922
"ID_5253","ID_5253a",1997,10,5,"ID_8988",0,1,1,70,0,0.54197662,0.54197662
"ID_5271","ID_5271a",2004,2,1,"ID_4817",0,9,9,178,0,3.999253469,3.999253469
"ID_5276","ID_5276a",2011,6,4,"ID_5606",1,1,2,0,0,0,0
"ID_5276","ID_5276b",2011,6,4,"ID_5896",3,4,7,65,1.654795023,2.206393364,3.861188387
"ID_5276","ID_5276c",2011,6,4,"ID_7338",0,1,1,1,0,NA,NA
"ID_5299","ID_5299a",2007,1,1,"ID_2035",5,7,12,279,2.044484546,2.862278365,4.906762911
"ID_5357","ID_5357a",2009,9,5,"ID_1443",0,2,2,26,0,1.413454185,1.413454185
"ID_5362","ID_5362a",2004,10,5,"ID_6157",1,2,3,49,0.591647331,1.183294662,1.774941994
"ID_5387","ID_5387a",2003,8,5,"ID_5744",0,1,1,0,0,0,0
"ID_5432","ID_5432a",2016,3,1,"ID_1899",0,0,0,0,0,0,0
"ID_5493","ID_5493a",2009,4,3,"ID_7441",0,1,1,0,0,0,0
"ID_5539","ID_5539a",2000,9,4,"ID_3265",0,3,3,0,0,0,0
"ID_5539","ID_5539b",2000,9,4,"ID_3911",0,0,0,0,0,0,0
"ID_5539","ID_5539c",2000,9,4,"ID_5280",7,2,9,58,3.969541158,1.134154617,5.103695775
"ID_5539","ID_5539d",2000,9,4,"ID_8091",0,0,0,4,0,0,0
"ID_5576","ID_5576a",2004,7,2,"ID_1416",63,1,64,26,44.52380682,0.706727092,45.23053391
"ID_5576","ID_5576b",2004,7,2,"ID_7902",0,10,10,63,0,5.557591643,5.557591643
"ID_5584","ID_5584a",2004,12,5,"ID_1815",0,0,0,0,0,0,0
"ID_5615","ID_5615a",1997,5,2,"ID_8595",14,13,27,327,5.567601564,5.169915738,10.7375173
"ID_5621","ID_5621a",2002,9,7,"ID_8655",0,0,0,0,0,0,0
"ID_5622","ID_5622a",1998,10,4,"ID_8597",0,1,1,49,0,0.591647331,0.591647331
"ID_5624","ID_5624a",1995,9,5,"ID_2273",6,34,40,225,2.550822461,14.45466061,17.00548307
"ID_5624","ID_5624b",1995,9,5,"ID_9086",0,1,1,4,0,1.660964047,1.660964047
"ID_5634","ID_5634a",2006,10,6,"ID_3422",0,0,0,0,0,0,0
"ID_5634","ID_5634b",2006,10,6,"ID_8786",16,0,16,184,7.064585874,0,7.064585874
"ID_5634","ID_5634c",2006,10,6,"ID_8871",16,6,22,197,6.973299418,2.614987282,9.5882867
"ID_5634","ID_5634d",2006,10,6,"ID_9068",26,8,34,180,11.52854032,3.547243174,15.07578349
"ID_5668","ID_5668a",2010,5,2,"ID_6785",0,1,1,0,0,0,0
"ID_5668","ID_5668b",2010,5,2,"ID_9989",0,0,0,0,0,0,0
"ID_5679","ID_5679a",2015,3,1,"ID_1373",0,4,4,5,0,5.722706232,5.722706232
"ID_5710","ID_5710a",2004,8,5,"ID_4847",1,1,2,157,0.455394216,0.455394216,0.910788431
"ID_5720","ID_5720a",2012,5,2,"ID_3903",0,0,0,0,0,0,0
"ID_5720","ID_5720b",2012,5,2,"ID_5415",3,2,5,68,1.63738576,1.09159051,2.72849969
"ID_5742","ID_5742a",1993,9,5,"ID_4269",0,0,0,1,NA,NA,0
