ID,DSB_Score,SSB_Score,Scan_Count,adjusted_DSB,adjusted_SSB,OffspringCount,BirthSeason,DS,normDS
ID_6408,19,4,71,10.2632893,2.160692484,0,2015,-18.4875,166.4446482
ID_4655,3,5,73,1.610026939,2.683378231,0,2018,35.30952381,166.6057171
ID_6527,0,2,73,0,1.073351292,2,2010,-7.678571429,166.4770103
ID_2377,16,3,74,8.559666429,1.604937455,7,2006,66.15833333,166.6980788
ID_2757,0,5,75,0,2.666579539,0,2013,-12.32261905,166.4631059
ID_1928,0,2,75,0,1.066631816,17,2006,-109.3607143,166.1725727
ID_1100,9,0,76,4.785163206,0,8,2010,-11.89801587,166.4643772
ID_4290,0,2,77,0,1.060169538,5,2007,NA,NA
ID_8594,0,3,77,0,1.590254307,10,2009,NA,NA
ID_5350,0,0,77,0,0,3,2008,-8.416666667,166.4748004
ID_5784,0,1,78,0,0.5285148,51,2003,-24.23888889,166.4274285
ID_1824,6,9,80,3.152767363,4.729151045,7,2015,87.51190476,166.7620117
ID_9016,0,7,80,0,3.67822859,0,2016,0.353571429,166.5010586
ID_7527,2,6,81,1.047951637,3.143854911,9,2000,NA,NA
ID_3842,2,1,82,1.045033715,0.522516858,13,1998,-3.166666667,166.490519
ID_8416,3,74,82,1.567550573,38.66624746,0,2016,-36.30416667,166.3913049
ID_9690,1,3,82,0.522516858,1.567550573,1,2014,-46.17440476,166.3617533
ID_7000,2,14,83,1.042167074,7.295169517,3,2015,-9.171428571,166.4725406
ID_2696,0,2,83,0,1.042167074,0,2008,-13.5827381,166.4593331
ID_3989,1,7,84,0.519675084,3.637725589,15,2004,55.9827381,166.667613
ID_2478,1,10,84,0.519675084,5.196750842,3,2011,31.04107143,166.5929373
ID_8911,0,14,87,0,7.218283593,3,2015,-8.522619048,166.4744832
ID_5131,0,4,88,0,2.057102415,1,2011,NA,NA
ID_4768,2,4,89,1.025961964,2.051923928,3,2011,14.98571429,166.5448674
ID_7739,9,0,89,4.616828838,0,13,2015,-183.2702381,165.9512867
ID_2238,6,4,90,3.070243315,2.046828876,3,2011,NA,NA
ID_8954,1,5,90,0.511707219,2.558536096,2,2010,NA,NA
ID_5782,18,5,90,9.210729944,2.558536096,10,2015,-12.61944444,166.4622172
ID_7081,3,3,91,1.531361212,1.531361212,0,2018,-6.641071429,166.4801166
ID_7758,55,4,92,28.00709895,2.036879924,14,2006,129.8380952,166.8887368
ID_8101,1,1,92,0.509219981,0.509219981,0,2013,21.71190476,166.5650057
ID_8269,1,1,92,0.509219981,0.509219981,14,2010,-122.7174603,166.1325825
ID_9813,4,9,94,2.02723812,4.561285769,3,2011,NA,NA
ID_2457,1,4,96,0.504471832,2.017887327,4,2010,NA,NA
ID_9420,3,14,96,1.513415495,7.062605645,0,2015,-40.14940476,166.3797922
ID_5735,2,1,96,1.008943664,0.504471832,9,2004,-43.23809524,166.3705446
ID_4689,1,24,97,0.503329085,12.07989805,1,2012,-135.9172619,166.0930621
ID_8574,0,11,99,0,5.512029468,0,2014,-136.1305556,166.0924235
ID_1359,1,7,102,0.497859163,3.48501414,20,2010,-84.47321429,166.2470862
ID_7771,0,3,105,0,1.48427463,1,2013,-43.21011905,166.3706284
ID_4748,0,6,105,0,2.968549261,1,2013,-59.66071429,166.3213751
ID_2360,4,5,106,1.975010327,2.468762909,1,2013,41.01904762,166.6228115
ID_6522,14,3,108,6.884939729,1.475344228,3,2015,14.88611111,166.5445692
ID_6768,8,11,108,3.934251274,5.409595501,8,2016,-165.1339286,166.005587
ID_1423,3,10,108,1.475344228,4.917814092,5,2013,-172.6625,165.9830464
ID_1352,4,6,109,1.963261008,2.944891512,2,2014,-51.57916667,166.3455714
ID_9931,0,9,109,0,4.417337268,1,2014,-107.4928571,166.1781651
ID_2419,20,9,110,9.797233107,4.408754898,18,2010,NA,NA
ID_2132,2,5,110,0.979723311,2.449308277,1,2012,-114.6642857,166.1566938
ID_5132,0,1,113,0,0.48707345,12,1996,-7.641666667,166.4771208
ID_9245,0,17,113,0,8.280248645,3,2012,-23.63333333,166.4292415
ID_3454,7,3,114,3.403171515,1.458502078,1,2005,-115.996627,166.1527047
ID_6022,3,4,118,1.447958904,1.930611872,3,2014,273.8456349,167.3198971
ID_1794,9,6,118,4.343876711,2.895917808,7,2011,-107.2333333,166.1789421
ID_9322,1,5,120,0.480958551,2.404792757,3,2015,-49.29801587,166.3524012
ID_9448,8,5,121,3.841010271,2.400631419,5,2010,37.04384921,166.6109097
ID_9603,5,3,121,2.400631419,1.440378852,5,2004,15.1297619,166.5452987
ID_4533,4,20,122,1.917214826,9.586074131,3,2007,60.62857143,166.6815227
ID_2677,1,2,122,0.479303707,0.958607413,0,2013,-86.05079365,166.2423629
ID_5545,2,29,123,0.956981247,13.87622808,0,2014,40.7125,166.6218937
ID_3228,39,5,123,18.66113432,2.392453118,5,2011,-24.66130952,166.4261637
ID_8645,0,11,123,0,5.263396859,1,2012,-58.83888889,166.3238357
ID_1745,0,1,125,0,0.476892186,18,2000,-86.89583333,166.2398328
ID_1311,12,7,131,5.66767236,3.30614221,1,2013,71.23154762,166.7132681
ID_8490,6,2,131,2.83383618,0.94461206,7,2007,34.20357143,166.6024059
ID_8579,0,3,132,0,1.414711346,4,2014,-54.98055556,166.3353876
ID_7619,0,6,134,0,2.820735492,1,2008,35.40178571,166.6059934
ID_5287,0,11,138,0,5.140477362,4,2011,-145.7041667,166.06376
